product_name,batch_id,manufacturer,prod_date,exp_date,traceability
PRODUCT A,fefe5fce,Factory B,2025-05-15,2026-05-15,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-15 09:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-15 12:35""}, {""step"": ""Assembly Line"", ""location"": ""Line 1"", ""timestamp"": ""2025-05-15 17:35""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-05-15 19:35""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-05-16 00:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-05-16 01:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-05-16 06:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-05-16 11:35""}]"
PRODUCT A,ffcca3e4,Factory A,2025-05-12,2026-05-12,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-12 11:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-12 16:35""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-05-12 18:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-05-12 23:35""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-05-13 03:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-05-13 04:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-05-13 08:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-05-13 12:35""}]"
PRODUCT A,a2526e33,Factory A,2025-05-28,2026-05-28,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-28 10:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-28 11:35""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-05-28 13:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-05-28 15:35""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-05-28 20:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-05-28 23:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-05-29 04:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-05-29 07:35""}]"
PRODUCT B,141bdaf6,Factory C,2025-05-16,2026-05-16,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-16 09:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-16 12:35""}, {""step"": ""Assembly Line"", ""location"": ""Line 1"", ""timestamp"": ""2025-05-16 15:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-05-16 18:35""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-05-16 22:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-05-17 01:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-05-17 04:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-05-17 07:35""}]"
PRODUCT B,d4381f93,Factory A,2025-06-15,2026-06-15,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-06-15 12:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-06-15 16:35""}, {""step"": ""Assembly Line"", ""location"": ""Line 1"", ""timestamp"": ""2025-06-15 18:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-06-15 23:35""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-06-16 04:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-16 08:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-16 13:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-16 18:35""}]"
PRODUCT B,4934ce00,Factory C,2025-05-08,2026-05-08,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-08 13:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-08 17:35""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-05-08 22:35""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-05-09 01:35""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-05-09 02:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-05-09 07:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-05-09 11:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-05-09 12:35""}]"
PRODUCT C,64df6e73,Factory C,2025-06-27,2026-06-27,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-06-27 13:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-06-27 17:35""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-06-27 18:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-06-27 20:35""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-06-27 23:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-28 01:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-28 05:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-28 07:35""}]"
PRODUCT C,a7071628,Factory C,2025-05-29,2026-05-29,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-29 13:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-29 18:35""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-05-29 20:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-05-30 01:35""}, {""step"": ""Quality Control"", ""location"": ""2"", ""timestamp"": ""2025-05-30 05:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-05-30 09:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-05-30 10:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-05-30 15:35""}]"
PRODUCT C,45a29c0b,Factory B,2025-06-28,2026-06-28,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-06-28 12:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-06-28 17:35""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-06-28 19:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-06-28 22:35""}, {""step"": ""Quality Control"", ""location"": ""2"", ""timestamp"": ""2025-06-28 23:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-29 01:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-29 05:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-29 07:35""}]"
PRODUCT D,8cee4315,Factory B,2025-06-07,2026-06-07,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-06-07 09:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-06-07 12:35""}, {""step"": ""Assembly Line"", ""location"": ""3"", ""timestamp"": ""2025-06-07 13:35""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-06-07 17:35""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-06-07 19:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-07 21:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-07 22:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-08 03:35""}]"
PRODUCT D,cd27e592,Factory A,2025-05-31,2026-05-31,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-05-31 13:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-05-31 14:35""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-05-31 18:35""}, {""step"": ""Soldering"", ""location"": ""2"", ""timestamp"": ""2025-05-31 20:35""}, {""step"": ""Quality Control"", ""location"": ""QC Area 1"", ""timestamp"": ""2025-06-01 01:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-01 04:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-01 07:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-01 10:35""}]"
PRODUCT D,586fbc4f,Factory C,2025-06-11,2026-06-11,"[{""step"": ""Raw Materials"", ""location"": ""Warehouse Inbound"", ""timestamp"": ""2025-06-11 11:35""}, {""step"": ""Pre-Assembly Check"", ""location"": ""Inspection Zone"", ""timestamp"": ""2025-06-11 12:35""}, {""step"": ""Assembly Line"", ""location"": ""2"", ""timestamp"": ""2025-06-11 15:35""}, {""step"": ""Soldering"", ""location"": ""Solder Station 1"", ""timestamp"": ""2025-06-11 20:35""}, {""step"": ""Quality Control"", ""location"": ""3"", ""timestamp"": ""2025-06-11 22:35""}, {""step"": ""Packaging"", ""location"": ""Final Pack Area"", ""timestamp"": ""2025-06-11 23:35""}, {""step"": ""Distribution"", ""location"": ""Outbound Dock"", ""timestamp"": ""2025-06-12 04:35""}, {""step"": ""End User"", ""location"": ""Customer Delivery"", ""timestamp"": ""2025-06-12 08:35""}]"
